,fullname,team,birthdate,country,height,weight,rider_url,pps,rdr
457,FELLINE Fabio,Astana - Premier Tech,1990-03-29,Italy,1.75,68.0,https://www.procyclingstats.com/rider/fabio-felline,"{'One day races': '1723', 'GC': '1329', 'Time trial': '1188', 'Sprint': '1416', 'Climber': '1556'}","{'PCS Ranking': '393', 'UCI World Ranking': '581', 'Specials | All Time Ranking': '785'}"
458,BRAMBILLA Gianluca,Trek - Segafredo,1987-08-22,Italy,1.7,57.0,https://www.procyclingstats.com/rider/gianluca-brambilla,"{'One day races': '1393', 'GC': '1490', 'Time trial': '148', 'Sprint': '806', 'Climber': '2351'}","{'PCS Ranking': '173', 'UCI World Ranking': '204', 'Specials | All Time Ranking': '1554'}"
459,PEDERSEN Mads,Trek - Segafredo,1995-12-18,Denmark,1.79,70.0,https://www.procyclingstats.com/rider/mads-pedersen,"{'One day races': '1657', 'GC': '756', 'Time trial': '857', 'Sprint': '1466', 'Climber': '277'}","{'PCS Ranking': '64', 'UCI World Ranking': '77', 'Specials | All Time Ranking': '520'}"
460,THEUNS Edward,Trek - Segafredo,1991-04-30,Belgium,1.83,72.0,https://www.procyclingstats.com/rider/edward-theuns,"{'One day races': '1783', 'GC': '513', 'Time trial': '97', 'Sprint': '2856', 'Climber': '125'}","{'PCS Ranking': '222', 'UCI World Ranking': '279', 'Specials | All Time Ranking': '1171'}"
461,SKUJIŅŠ Toms,Trek - Segafredo,1991-06-15,Latvia,1.78,70.0,https://www.procyclingstats.com/rider/toms-skujins,"{'One day races': '1245', 'GC': '661', 'Time trial': '198', 'Sprint': '725', 'Climber': '840'}","{'PCS Ranking': '156', 'UCI World Ranking': '145', 'Specials | All Time Ranking': '1818'}"
462,CICCONE Giulio,Trek - Segafredo,1994-12-20,Italy,1.76,58.0,https://www.procyclingstats.com/rider/giulio-ciccone,"{'One day races': '862', 'GC': '574', 'Time trial': '80', 'Sprint': '195', 'Climber': '1740'}","{'PCS Ranking': '145', 'UCI World Ranking': '183', 'Specials | All Time Ranking': '1670'}"
463,DE KORT Koen,Trek - Segafredo,1982-09-08,Netherlands,1.79,69.0,https://www.procyclingstats.com/rider/koen-de-kort,"{'One day races': '757', 'GC': '996', 'Time trial': '343', 'Sprint': '924', 'Climber': '299'}",{'PCS Ranking': '857'}
464,PANTANO Jarlinson,noteam,1988-11-19,Colombia,1.73,61.0,https://www.procyclingstats.com/rider/jarlinson-pantano,"{'One day races': '244', 'GC': '947', 'Time trial': '152', 'Sprint': '384', 'Climber': '1170'}",{}
465,STETINA Peter,noteam,1987-08-08,United States,1.8,63.0,https://www.procyclingstats.com/rider/peter-stetina,"{'One day races': '295', 'GC': '990', 'Time trial': '65', 'Sprint': '101', 'Climber': '686'}",{}
466,IRIZAR Markel,noteam,1980-02-05,Spain,1.82,73.0,https://www.procyclingstats.com/rider/markel-irizar,"{'One day races': '244', 'GC': '828', 'Time trial': '923', 'Sprint': '48', 'Climber': '96'}",{}
467,BEPPU Fumiyuki,EF Education - Nippo,1983-04-10,Japan,1.8,69.0,https://www.procyclingstats.com/rider/fumiyuki-beppu,"{'One day races': '707', 'GC': '318', 'Time trial': '222', 'Sprint': '614', 'Climber': '32'}",{'PCS Ranking': '1340'}
468,REIJNEN Kiel,Trek - Segafredo,1986-06-01,United States,1.8,63.0,https://www.procyclingstats.com/rider/kiel-reijnen,"{'One day races': '263', 'GC': '482', 'Time trial': '150', 'Sprint': '1472', 'Climber': '240'}","{'PCS Ranking': '1413', 'UCI World Ranking': '3566'}"
469,GOGL Michael,Team Qhubeka NextHash,1993-11-04,Austria,1.86,70.0,https://www.procyclingstats.com/rider/michael-gogl,"{'One day races': '447', 'GC': '368', 'Time trial': '69', 'Sprint': '186', 'Climber': '352'}","{'PCS Ranking': '355', 'UCI World Ranking': '254'}"
470,MOSCA Jacopo,Trek - Segafredo,1993-08-29,Italy,0.0,0.0,https://www.procyclingstats.com/rider/jacopo-mosca,"{'One day races': '193', 'GC': '444', 'Time trial': '69', 'Sprint': '596', 'Climber': '283'}","{'PCS Ranking': '485', 'UCI World Ranking': '768'}"
471,KIRSCH Alex,Trek - Segafredo,1992-06-12,Luxembourg,1.94,75.0,https://www.procyclingstats.com/rider/alex-kirsch,"{'One day races': '344', 'GC': '274', 'Time trial': '489', 'Sprint': '554', 'Climber': '162'}","{'PCS Ranking': '664', 'UCI World Ranking': '719'}"
472,MOSCHETTI Matteo,Trek - Segafredo,1996-08-14,Italy,1.79,73.0,https://www.procyclingstats.com/rider/matteo-moschetti,"{'One day races': '410', 'GC': '41', 'Time trial': '26', 'Sprint': '900', 'Climber': '17'}","{'PCS Ranking': '198', 'UCI World Ranking': '256'}"
473,BERNARD Julien,Trek - Segafredo,1992-03-17,France,1.76,60.0,https://www.procyclingstats.com/rider/julien-bernard,"{'One day races': '76', 'GC': '521', 'Time trial': '24', 'Sprint': '72', 'Climber': '277'}","{'PCS Ranking': '347', 'UCI World Ranking': '502'}"
474,MULLEN Ryan,Trek - Segafredo,1994-08-07,Ireland,1.89,77.0,https://www.procyclingstats.com/rider/ryan-mullen,"{'One day races': '155', 'GC': '130', 'Time trial': '1072', 'Sprint': '27', 'Climber': '0'}","{'PCS Ranking': '608', 'UCI World Ranking': '424'}"
475,CLARKE Will,noteam,1985-04-11,Australia,1.92,81.0,https://www.procyclingstats.com/rider/william-clarke,"{'One day races': '82', 'GC': '166', 'Time trial': '672', 'Sprint': '414', 'Climber': '10'}",{}
476,EG Niklas,Trek - Segafredo,1995-01-06,Denmark,1.83,60.0,https://www.procyclingstats.com/rider/niklas-eg,"{'One day races': '57', 'GC': '463', 'Time trial': '47', 'Sprint': '33', 'Climber': '293'}","{'PCS Ranking': '496', 'UCI World Ranking': '693'}"
477,CONCI Nicola,Trek - Segafredo,1997-01-05,Italy,1.84,68.0,https://www.procyclingstats.com/rider/nicola-conci,"{'One day races': '157', 'GC': '217', 'Time trial': '8', 'Sprint': '161', 'Climber': '204'}","{'PCS Ranking': '952', 'UCI World Ranking': '1157'}"
478,LÓPEZ Juan Pedro,Trek - Segafredo,1997-07-31,Spain,1.7,60.0,https://www.procyclingstats.com/rider/juan-pedro-lopez,"{'One day races': '37', 'GC': '244', 'Time trial': '17', 'Sprint': '8', 'Climber': '156'}","{'PCS Ranking': '312', 'UCI World Ranking': '512'}"
479,FRAME Alex,noteam,1993-06-18,New Zealand,0.0,0.0,https://www.procyclingstats.com/rider/alex-frame,"{'One day races': '34', 'GC': '22', 'Time trial': '136', 'Sprint': '392', 'Climber': '3'}",{}
480,QUARTERMAN Charlie,Trek - Segafredo,1998-09-06,Great Britain,1.8,75.0,https://www.procyclingstats.com/rider/charlie-quarterman,"{'One day races': '5', 'GC': '18', 'Time trial': '49', 'Sprint': '1', 'Climber': '0'}","{'PCS Ranking': '1177', 'UCI World Ranking': '2691'}"
481,DEBEAUMARCHÉ Nicolas,St Michel - Auber93,1998-02-24,France,0.0,0.0,https://www.procyclingstats.com/rider/nicolas-debeaumarche,"{'One day races': '20', 'GC': '1', 'Time trial': '0', 'Sprint': '32', 'Climber': '0'}",{'UCI World Ranking': '2402'}
482,KRISTOFF Alexander,UAE-Team Emirates,1987-07-05,Norway,1.81,78.0,https://www.procyclingstats.com/rider/alexander-kristoff,"{'One day races': '8754', 'GC': '2081', 'Time trial': '297', 'Sprint': '11466', 'Climber': '1207'}","{'PCS Ranking': '75', 'UCI World Ranking': '69', 'Specials | All Time Ranking': '54'}"
483,MARTIN Dan,Israel Start-Up Nation,1986-08-20,Ireland,1.75,59.0,https://www.procyclingstats.com/rider/dan-martin,"{'One day races': '3447', 'GC': '5975', 'Time trial': '454', 'Sprint': '814', 'Climber': '7604'}","{'PCS Ranking': '73', 'UCI World Ranking': '123', 'Specials | All Time Ranking': '152'}"
484,COSTA Rui,UAE-Team Emirates,1986-10-05,Portugal,1.83,69.0,https://www.procyclingstats.com/rider/rui-costa,"{'One day races': '3622', 'GC': '5684', 'Time trial': '1561', 'Sprint': '1147', 'Climber': '5118'}","{'PCS Ranking': '170', 'UCI World Ranking': '174', 'Specials | All Time Ranking': '155'}"
485,ULISSI Diego,UAE-Team Emirates,1989-07-15,Italy,1.75,63.0,https://www.procyclingstats.com/rider/diego-ulissi,"{'One day races': '4240', 'GC': '4095', 'Time trial': '935', 'Sprint': '1920', 'Climber': '4578'}","{'PCS Ranking': '34', 'UCI World Ranking': '47', 'Specials | All Time Ranking': '144'}"
486,POGAČAR Tadej,UAE-Team Emirates,1998-09-21,Slovenia,1.76,66.0,https://www.procyclingstats.com/rider/tadej-pogacar,"{'One day races': '1441', 'GC': '3244', 'Time trial': '1007', 'Sprint': '310', 'Climber': '3484'}","{'PCS Ranking': '1', 'UCI World Ranking': '1', 'Specials | All Time Ranking': '162'}"
487,HENAO Sergio,Team Qhubeka NextHash,1987-12-10,Colombia,1.7,61.0,https://www.procyclingstats.com/rider/sergio-luis-henao,"{'One day races': '1614', 'GC': '3548', 'Time trial': '548', 'Sprint': '740', 'Climber': '3256'}","{'PCS Ranking': '301', 'UCI World Ranking': '442', 'Specials | All Time Ranking': '723'}"
488,ARU Fabio,noteam,1990-07-03,Italy,1.83,63.0,https://www.procyclingstats.com/rider/fabio-aru,"{'One day races': '924', 'GC': '3501', 'Time trial': '580', 'Sprint': '298', 'Climber': '4271'}","{'PCS Ranking': '186', 'UCI World Ranking': '189', 'Specials | All Time Ranking': '544'}"
489,MARCATO Marco,UAE-Team Emirates,1984-02-11,Italy,1.74,67.0,https://www.procyclingstats.com/rider/marco-marcato,"{'One day races': '3288', 'GC': '1701', 'Time trial': '156', 'Sprint': '3', 'Climber': '785'}","{'PCS Ranking': '1212', 'UCI World Ranking': '2117', 'Specials | All Time Ranking': '858'}"
490,GAVIRIA Fernando,UAE-Team Emirates,1994-08-19,Colombia,1.8,71.0,https://www.procyclingstats.com/rider/fernando-gaviria,"{'One day races': '1420', 'GC': '119', 'Time trial': '77', 'Sprint': '4222', 'Climber': '326'}","{'PCS Ranking': '124', 'UCI World Ranking': '187', 'Specials | All Time Ranking': '335'}"
491,PHILIPSEN Jasper,Alpecin-Fenix,1998-03-02,Belgium,1.76,69.0,https://www.procyclingstats.com/rider/jasper-philipsen,"{'One day races': '1588', 'GC': '228', 'Time trial': '94', 'Sprint': '2479', 'Climber': '478'}","{'PCS Ranking': '7', 'UCI World Ranking': '17', 'Specials | All Time Ranking': '652'}"
492,MORI Manuele,noteam,1980-08-09,Italy,1.72,62.0,https://www.procyclingstats.com/rider/manuele-mori,"{'One day races': '2132', 'GC': '764', 'Time trial': '80', 'Sprint': '1436', 'Climber': '726'}",{}
493,FERRARI Roberto,noteam,1983-03-09,Italy,1.73,73.0,https://www.procyclingstats.com/rider/roberto-ferrari,"{'One day races': '965', 'GC': '318', 'Time trial': '16', 'Sprint': '3224', 'Climber': '210'}",{'Specials | All Time Ranking': '1236'}
494,POLANC Jan,UAE-Team Emirates,1992-05-06,Slovenia,1.72,62.0,https://www.procyclingstats.com/rider/jan-polanc,"{'One day races': '607', 'GC': '1312', 'Time trial': '393', 'Sprint': '303', 'Climber': '1337'}","{'PCS Ranking': '261', 'UCI World Ranking': '241'}"
495,SUTHERLAND Rory,noteam,1982-02-08,Australia,1.88,75.0,https://www.procyclingstats.com/rider/rory-sutherland,"{'One day races': '400', 'GC': '1045', 'Time trial': '746', 'Sprint': '799', 'Climber': '396'}",{}
496,CONSONNI Simone,"Cofidis, Solutions Crédits",1994-09-12,Italy,1.65,60.0,https://www.procyclingstats.com/rider/simone-consonni,"{'One day races': '858', 'GC': '211', 'Time trial': '25', 'Sprint': '1262', 'Climber': '292'}","{'PCS Ranking': '195', 'UCI World Ranking': '248'}"
497,CONTI Valerio,UAE-Team Emirates,1993-03-30,Italy,1.72,61.0,https://www.procyclingstats.com/rider/valerio-conti,"{'One day races': '506', 'GC': '711', 'Time trial': '258', 'Sprint': '348', 'Climber': '870'}","{'PCS Ranking': '363', 'UCI World Ranking': '379', 'Specials | All Time Ranking': '2029'}"
498,ĐURASEK Kristijan,noteam,1987-07-26,Croatia,1.7,56.0,https://www.procyclingstats.com/rider/kristijan-durasek,"{'One day races': '542', 'GC': '644', 'Time trial': '83', 'Sprint': '289', 'Climber': '615'}",{}
499,BYSTRØM Sven Erik,UAE-Team Emirates,1992-01-21,Norway,1.89,70.0,https://www.procyclingstats.com/rider/sven-erik-bystrom,"{'One day races': '596', 'GC': '503', 'Time trial': '63', 'Sprint': '522', 'Climber': '316'}","{'PCS Ranking': '225', 'UCI World Ranking': '300'}"
500,LAENGEN Vegard Stake,UAE-Team Emirates,1989-02-07,Norway,1.95,79.0,https://www.procyclingstats.com/rider/vegard-stake-laengen,"{'One day races': '447', 'GC': '640', 'Time trial': '370', 'Sprint': '209', 'Climber': '370'}","{'PCS Ranking': '385', 'UCI World Ranking': '533'}"
501,MOLANO Juan Sebastián,UAE-Team Emirates,1994-11-04,Colombia,1.8,72.0,https://www.procyclingstats.com/rider/juan-sebastian-molano,"{'One day races': '226', 'GC': '195', 'Time trial': '0', 'Sprint': '1228', 'Climber': '151'}","{'PCS Ranking': '209', 'UCI World Ranking': '387', 'Specials | All Time Ranking': '1804'}"
502,PETILLI Simone,Intermarché - Wanty - Gobert Matériaux,1993-05-04,Italy,1.78,65.0,https://www.procyclingstats.com/rider/simone-petilli,"{'One day races': '351', 'GC': '384', 'Time trial': '39', 'Sprint': '145', 'Climber': '353'}","{'PCS Ranking': '386', 'UCI World Ranking': '463'}"
503,RIABUSHENKO Alexandr,UAE-Team Emirates,1995-10-12,Belarus,1.78,61.0,https://www.procyclingstats.com/rider/alexandr-riabushenko,"{'One day races': '482', 'GC': '89', 'Time trial': '6', 'Sprint': '423', 'Climber': '130'}","{'PCS Ranking': '599', 'UCI World Ranking': '1095'}"
504,MIRZA Yousif,UAE-Team Emirates,1988-10-08,United Arab Emirates,1.76,60.0,https://www.procyclingstats.com/rider/yousef-mohamed-mirza,"{'One day races': '355', 'GC': '147', 'Time trial': '257', 'Sprint': '714', 'Climber': '31'}","{'PCS Ranking': '871', 'UCI World Ranking': '713'}"
505,BOHLI Tom,"Cofidis, Solutions Crédits",1994-01-17,Switzerland,1.83,71.0,https://www.procyclingstats.com/rider/tom-bohli,"{'One day races': '127', 'GC': '167', 'Time trial': '869', 'Sprint': '182', 'Climber': '3'}","{'PCS Ranking': '817', 'UCI World Ranking': '2053'}"
506,RAVASI Edward,EOLO-Kometa,1994-06-05,Italy,1.81,61.0,https://www.procyclingstats.com/rider/edward-ravasi,"{'One day races': '78', 'GC': '301', 'Time trial': '20', 'Sprint': '8', 'Climber': '226'}","{'PCS Ranking': '845', 'UCI World Ranking': '1289'}"
507,OLIVEIRA Rui,UAE-Team Emirates,1996-09-05,Portugal,1.83,66.0,https://www.procyclingstats.com/rider/rui-oliveira,"{'One day races': '195', 'GC': '66', 'Time trial': '10', 'Sprint': '330', 'Climber': '166'}","{'PCS Ranking': '288', 'UCI World Ranking': '352'}"
508,TROIA Oliviero,UAE-Team Emirates,1994-09-01,Italy,1.91,80.0,https://www.procyclingstats.com/rider/oliviero-troia,"{'One day races': '107', 'GC': '90', 'Time trial': '10', 'Sprint': '110', 'Climber': '0'}",{'PCS Ranking': '1329'}
509,OLIVEIRA Ivo,UAE-Team Emirates,1996-09-05,Portugal,1.85,68.0,https://www.procyclingstats.com/rider/ivo-emanuel-alves,"{'One day races': '18', 'GC': '36', 'Time trial': '155', 'Sprint': '92', 'Climber': '24'}","{'PCS Ranking': '1459', 'UCI World Ranking': '3029'}"
510,MUÑOZ Cristian Camilo,UAE-Team Emirates,1996-03-20,Colombia,1.8,63.0,https://www.procyclingstats.com/rider/cristian-munoz,"{'One day races': '8', 'GC': '33', 'Time trial': '4', 'Sprint': '10', 'Climber': '21'}","{'PCS Ranking': '1248', 'UCI World Ranking': '1383'}"
511,DALLA VALLE Nicolas,Bardiani-CSF-Faizanè,1997-09-13,Italy,0.0,73.0,https://www.procyclingstats.com/rider/nicolas-dalla-valle,"{'One day races': '7', 'GC': '5', 'Time trial': '108', 'Sprint': '63', 'Climber': '2'}","{'PCS Ranking': '1651', 'UCI World Ranking': '2907'}"
512,BEERS Matthew,noteam,1994-01-10,South Africa,0.0,0.0,https://www.procyclingstats.com/rider/matthew-beers,"{'One day races': '0', 'GC': '0', 'Time trial': '0', 'Sprint': '0', 'Climber': '0'}","{'PCS Ranking': '1555', 'UCI World Ranking': '934'}"
513,GAVAZZI Francesco,EOLO-Kometa,1984-08-01,Italy,1.73,65.0,https://www.procyclingstats.com/rider/francesco-gavazzi,"{'One day races': '2966', 'GC': '1283', 'Time trial': '43', 'Sprint': '2770', 'Climber': '1992'}","{'PCS Ranking': '493', 'UCI World Ranking': '761', 'Specials | All Time Ranking': '629'}"
514,BELLETTI Manuel,EOLO-Kometa,1985-10-14,Italy,1.75,72.0,https://www.procyclingstats.com/rider/manuel-belletti,"{'One day races': '2039', 'GC': '183', 'Time trial': '64', 'Sprint': '4598', 'Climber': '273'}","{'PCS Ranking': '1019', 'UCI World Ranking': '2249', 'Specials | All Time Ranking': '790'}"
515,CATTANEO Mattia,Deceuninck - Quick Step,1990-10-25,Italy,1.84,67.0,https://www.procyclingstats.com/rider/mattia-cattaneo,"{'One day races': '673', 'GC': '1177', 'Time trial': '1079', 'Sprint': '228', 'Climber': '1269'}","{'PCS Ranking': '53', 'UCI World Ranking': '101', 'Specials | All Time Ranking': '2015'}"
516,MASNADA Fausto,Deceuninck - Quick Step,1993-11-06,Italy,1.82,65.0,https://www.procyclingstats.com/rider/fausto-masnada,"{'One day races': '561', 'GC': '1279', 'Time trial': '142', 'Sprint': '89', 'Climber': '1200'}","{'PCS Ranking': '76', 'UCI World Ranking': '46', 'Specials | All Time Ranking': '1546'}"
517,VENDRAME Andrea,AG2R Citroën Team,1994-07-20,Italy,1.68,60.0,https://www.procyclingstats.com/rider/andrea-vendrame,"{'One day races': '999', 'GC': '335', 'Time trial': '98', 'Sprint': '782', 'Climber': '977'}","{'PCS Ranking': '155', 'UCI World Ranking': '163'}"
518,PELUCCHI Matteo,Team Qhubeka NextHash,1989-01-21,Italy,1.82,74.0,https://www.procyclingstats.com/rider/matteo-pelucchi,"{'One day races': '696', 'GC': '41', 'Time trial': '97', 'Sprint': '2896', 'Climber': '32'}","{'PCS Ranking': '1583', 'UCI World Ranking': '3195', 'Specials | All Time Ranking': '1184'}"
519,MONTAGUTI Matteo,noteam,1984-01-06,Italy,1.81,65.0,https://www.procyclingstats.com/rider/matteo-montaguti,"{'One day races': '762', 'GC': '554', 'Time trial': '181', 'Sprint': '484', 'Climber': '808'}",{}
520,BENFATTO Marco,noteam,1988-01-06,Italy,1.81,71.0,https://www.procyclingstats.com/rider/marco-benfatto,"{'One day races': '141', 'GC': '119', 'Time trial': '12', 'Sprint': '2596', 'Climber': '16'}",{'Specials | All Time Ranking': '1606'}
521,FRAPPORTI Marco,Vini Zabù,1985-03-30,Italy,1.79,69.0,https://www.procyclingstats.com/rider/marco-frapporti,"{'One day races': '563', 'GC': '374', 'Time trial': '62', 'Sprint': '582', 'Climber': '148'}",{}
522,BUSATO Matteo,noteam,1987-12-20,Italy,1.79,67.0,https://www.procyclingstats.com/rider/matteo-busato,"{'One day races': '427', 'GC': '374', 'Time trial': '17', 'Sprint': '753', 'Climber': '472'}",{}
523,BISOLTI Alessandro,Androni Giocattoli - Sidermec,1985-03-07,Italy,1.75,58.0,https://www.procyclingstats.com/rider/alessandro-bisolti,"{'One day races': '180', 'GC': '437', 'Time trial': '58', 'Sprint': '342', 'Climber': '308'}","{'PCS Ranking': '1029', 'UCI World Ranking': '1534'}"
524,RIVERA Kevin,noteam,1998-06-28,Costa Rica,1.65,56.0,https://www.procyclingstats.com/rider/kevin-rivera,"{'One day races': '26', 'GC': '279', 'Time trial': '37', 'Sprint': '78', 'Climber': '155'}",{}
525,RAVANELLI Simone,Androni Giocattoli - Sidermec,1995-07-04,Italy,1.78,66.0,https://www.procyclingstats.com/rider/simone-ravanelli,"{'One day races': '161', 'GC': '132', 'Time trial': '23', 'Sprint': '236', 'Climber': '184'}","{'PCS Ranking': '449', 'UCI World Ranking': '781'}"
526,MUÑOZ Daniel,Androni Giocattoli - Sidermec,1996-11-21,Colombia,1.74,57.0,https://www.procyclingstats.com/rider/daniel-munoz,"{'One day races': '14', 'GC': '263', 'Time trial': '19', 'Sprint': '53', 'Climber': '121'}","{'PCS Ranking': '469', 'UCI World Ranking': '526'}"
527,FLÓREZ Miguel Eduardo,Team Arkéa Samsic,1996-02-21,Colombia,1.74,57.0,https://www.procyclingstats.com/rider/miguel-eduardo-florez,"{'One day races': '61', 'GC': '195', 'Time trial': '1', 'Sprint': '80', 'Climber': '154'}","{'PCS Ranking': '810', 'UCI World Ranking': '1312'}"
528,RUMAC Josip,Androni Giocattoli - Sidermec,1994-10-26,Croatia,1.82,71.0,https://www.procyclingstats.com/rider/josip-rumac,"{'One day races': '117', 'GC': '56', 'Time trial': '138', 'Sprint': '203', 'Climber': '78'}","{'PCS Ranking': '904', 'UCI World Ranking': '1561'}"
529,BAIS Mattia,Androni Giocattoli - Sidermec,1996-10-19,Italy,1.75,66.0,https://www.procyclingstats.com/rider/mattia-bais,"{'One day races': '95', 'GC': '111', 'Time trial': '19', 'Sprint': '145', 'Climber': '90'}","{'PCS Ranking': '502', 'UCI World Ranking': '536'}"
530,FRAPPORTI Mattia,EOLO-Kometa,1994-07-02,Italy,1.82,74.0,https://www.procyclingstats.com/rider/mattia-frapporti,"{'One day races': '64', 'GC': '39', 'Time trial': '34', 'Sprint': '136', 'Climber': '20'}","{'PCS Ranking': '2062', 'UCI World Ranking': '2286'}"
531,SPREAFICO Matteo,noteam,1993-02-15,Italy,1.84,69.0,https://www.procyclingstats.com/rider/matteo-spreafico,"{'One day races': '14', 'GC': '83', 'Time trial': '96', 'Sprint': '68', 'Climber': '16'}",{}
532,VENCHIARUTTI Nicola,Androni Giocattoli - Sidermec,1998-10-07,Italy,1.73,64.0,https://www.procyclingstats.com/rider/nicola-venchiarutti,"{'One day races': '59', 'GC': '24', 'Time trial': '1', 'Sprint': '102', 'Climber': '30'}","{'PCS Ranking': '831', 'UCI World Ranking': '2088'}"
533,VIEL Mattia,Androni Giocattoli - Sidermec,1995-04-22,Italy,1.8,72.0,https://www.procyclingstats.com/rider/mattia-viel,"{'One day races': '35', 'GC': '10', 'Time trial': '11', 'Sprint': '115', 'Climber': '7'}",{'UCI World Ranking': '3095'}
534,CARDONA Julián,noteam,1997-01-19,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/julian-cardona-tabares,"{'One day races': '50', 'GC': '0', 'Time trial': '12', 'Sprint': '0', 'Climber': '0'}",{}
535,FEDRIGO Leonardo,noteam,1996-07-21,Italy,1.9,76.0,https://www.procyclingstats.com/rider/leonardo-fedrigo,"{'One day races': '62', 'GC': '5', 'Time trial': '0', 'Sprint': '12', 'Climber': '0'}",{}
536,GUARDINI Andrea,Giotti Victoria - Savini Due,1989-06-12,Italy,1.75,66.0,https://www.procyclingstats.com/rider/andrea-guardini,"{'One day races': '239', 'GC': '161', 'Time trial': '1', 'Sprint': '5276', 'Climber': '54'}","{'PCS Ranking': '574', 'UCI World Ranking': '610', 'Specials | All Time Ranking': '653'}"
537,ROTA Lorenzo,Intermarché - Wanty - Gobert Matériaux,1995-05-23,Italy,1.73,62.0,https://www.procyclingstats.com/rider/lorenzo-rota,"{'One day races': '670', 'GC': '295', 'Time trial': '12', 'Sprint': '231', 'Climber': '580'}","{'PCS Ranking': '107', 'UCI World Ranking': '84'}"
538,WACKERMANN Luca,EOLO-Kometa,1992-03-13,Italy,1.88,68.0,https://www.procyclingstats.com/rider/luca-wackermann,"{'One day races': '200', 'GC': '409', 'Time trial': '1', 'Sprint': '510', 'Climber': '280'}","{'PCS Ranking': '902', 'UCI World Ranking': '1819'}"
539,BARBIN Enrico,noteam,1990-03-04,Italy,1.66,60.0,https://www.procyclingstats.com/rider/enrico-barbin,"{'One day races': '312', 'GC': '292', 'Time trial': '1', 'Sprint': '662', 'Climber': '150'}",{}
540,ALBANESE Vincenzo,EOLO-Kometa,1996-11-12,Italy,1.75,70.0,https://www.procyclingstats.com/rider/vincenzo-albanese,"{'One day races': '377', 'GC': '54', 'Time trial': '30', 'Sprint': '430', 'Climber': '232'}","{'PCS Ranking': '199', 'UCI World Ranking': '230'}"
541,SENNI Manuel,Amore & Vita - Prodir,1992-03-11,Italy,1.81,60.0,https://www.procyclingstats.com/rider/manuel-senni,"{'One day races': '88', 'GC': '362', 'Time trial': '55', 'Sprint': '54', 'Climber': '238'}",{'UCI World Ranking': '3427'}
542,CARBONI Giovanni,Bardiani-CSF-Faizanè,1995-08-31,Italy,1.8,61.0,https://www.procyclingstats.com/rider/giovanni-carboni,"{'One day races': '84', 'GC': '309', 'Time trial': '8', 'Sprint': '88', 'Climber': '364'}","{'PCS Ranking': '322', 'UCI World Ranking': '327'}"
543,SIMION Paolo,Giotti Victoria - Savini Due,1992-10-10,Italy,1.85,79.0,https://www.procyclingstats.com/rider/paolo-simion,"{'One day races': '183', 'GC': '119', 'Time trial': '21', 'Sprint': '931', 'Climber': '20'}",{'PCS Ranking': '1702'}
544,MAESTRI Mirco,Bardiani-CSF-Faizanè,1991-10-26,Italy,1.82,72.0,https://www.procyclingstats.com/rider/mirco-maestri,"{'One day races': '82', 'GC': '183', 'Time trial': '80', 'Sprint': '313', 'Climber': '32'}","{'PCS Ranking': '843', 'UCI World Ranking': '650'}"
545,TONELLI Alessandro,Bardiani-CSF-Faizanè,1992-05-29,Italy,1.76,64.0,https://www.procyclingstats.com/rider/alessandro-tonelli,"{'One day races': '65', 'GC': '76', 'Time trial': '8', 'Sprint': '121', 'Climber': '101'}","{'PCS Ranking': '855', 'UCI World Ranking': '1134'}"
546,SAVINI Daniel,Bardiani-CSF-Faizanè,1997-09-26,Italy,1.7,58.0,https://www.procyclingstats.com/rider/daniel-savini,"{'One day races': '112', 'GC': '21', 'Time trial': '0', 'Sprint': '112', 'Climber': '32'}","{'PCS Ranking': '890', 'UCI World Ranking': '979'}"
547,COVILI Luca,Bardiani-CSF-Faizanè,1997-02-10,Italy,1.8,58.0,https://www.procyclingstats.com/rider/luca-covili,"{'One day races': '28', 'GC': '93', 'Time trial': '6', 'Sprint': '19', 'Climber': '97'}","{'PCS Ranking': '567', 'UCI World Ranking': '577'}"
548,MARONESE Marco,noteam,1994-12-25,Italy,0.0,0.0,https://www.procyclingstats.com/rider/marco-maronese,"{'One day races': '29', 'GC': '6', 'Time trial': '0', 'Sprint': '436', 'Climber': '1'}",{}
549,PESSOT Alessandro,noteam,1995-07-01,Italy,1.92,75.0,https://www.procyclingstats.com/rider/alessandro-pessot,"{'One day races': '20', 'GC': '30', 'Time trial': '34', 'Sprint': '134', 'Climber': '2'}",{}
550,ROMANO Francesco,noteam,1997-07-09,Italy,0.0,0.0,https://www.procyclingstats.com/rider/francesco-romano,"{'One day races': '21', 'GC': '26', 'Time trial': '0', 'Sprint': '129', 'Climber': '11'}","{'PCS Ranking': '1914', 'UCI World Ranking': '1712'}"
551,BRESCIANI Michael,noteam,1994-12-20,Italy,0.0,0.0,https://www.procyclingstats.com/rider/michael-bresciani,"{'One day races': '9', 'GC': '8', 'Time trial': '0', 'Sprint': '164', 'Climber': '2'}",{}
552,ORSINI Umberto,noteam,1994-12-06,Italy,1.88,67.0,https://www.procyclingstats.com/rider/umberto-orsini,"{'One day races': '14', 'GC': '66', 'Time trial': '0', 'Sprint': '6', 'Climber': '4'}",{}
